date,region,country,product,quantity,unit_price,revenue,material_cost,shipping_cost,total_cost,margin
2025-06-01,South America,Argentina,Widget A,40,198.56,7942.4,3469.09,890.72,4359.81,3582.59
2025-05-14,Europe,Germany,Gadget Y,36,135.17,4866.12,1232.81,462.27,1695.08,3171.04
2024-10-20,Europe,Spain,Widget B,7,277.05,1939.35,688.23,100.24,788.47,1150.88
2025-06-23,Asia,Japan,Widget C,26,42.13,1095.38,484.0,78.11,562.11,533.27
2024-09-06,North America,Canada,Widget A,42,297.67,12502.14,4750.55,410.72,5161.27,7340.87
2025-02-19,South America,Argentina,Gadget Y,31,35.71,1107.01,278.84,50.29,329.13,777.88
2025-05-26,South America,Argentina,Gadget Y,7,270.54,1893.78,821.58,95.97,917.55,976.23
2025-05-01,Asia,India,Widget A,44,279.16,12283.04,5280.02,991.44,6271.46,6011.58
2024-02-03,North America,Canada,Widget A,14,184.37,2581.18,1033.64,243.0,1276.64,1304.54
2025-02-11,Europe,UK,Widget B,37,87.33,3231.21,1347.19,210.11,1557.3,1673.91
2024-12-05,South America,Brazil,Widget A,33,228.73,7548.09,2409.14,292.8,2701.94,4846.15
2024-08-25,Europe,UK,Gadget Y,50,191.88,9594.0,3541.35,1124.44,4665.79,4928.21
2024-11-30,Europe,UK,Gadget X,32,83.88,2684.16,967.93,171.22,1139.15,1545.01
2024-07-09,South America,Brazil,Gadget Y,19,243.46,4625.74,1816.17,172.93,1989.1,2636.64
2024-06-06,South America,Brazil,Gadget X,21,121.0,2541.0,681.76,291.88,973.64,1567.36
2025-03-31,Asia,Japan,Widget A,9,44.44,399.96,134.46,32.05,166.51,233.45
2025-06-08,South America,Brazil,Widget A,6,119.1,714.6,191.95,59.9,251.85,462.75
2024-11-28,South America,Brazil,Widget C,27,128.58,3471.66,926.72,385.71,1312.43,2159.23
2024-09-05,North America,Canada,Widget B,9,95.3,857.7,260.47,37.0,297.47,560.23
2024-06-20,South America,Argentina,Gadget X,20,155.58,3111.6,825.77,163.84,989.61,2121.99
2024-09-09,South America,Brazil,Gadget X,7,57.94,405.58,101.94,26.61,128.55,277.03
2025-01-24,Asia,Japan,Widget C,28,248.33,6953.24,2933.58,818.26,3751.84,3201.4
2024-05-19,Asia,Japan,Gadget Y,45,76.24,3430.8,1073.28,400.76,1474.04,1956.76
2024-11-22,Asia,China,Gadget X,37,238.95,8841.15,2786.53,488.27,3274.8,5566.35
2025-02-06,Asia,India,Gadget Y,13,185.82,2415.66,867.53,220.68,1088.21,1327.45
2024-01-28,South America,Brazil,Gadget X,19,252.76,4802.44,1267.04,510.5,1777.54,3024.9
2025-02-22,South America,Brazil,Widget C,16,90.75,1452.0,407.76,98.85,506.61,945.39
2025-01-21,Europe,Spain,Gadget Y,31,183.03,5673.93,2024.88,641.8,2666.68,3007.25
2025-03-04,Europe,UK,Gadget Y,39,198.69,7748.91,2068.93,768.74,2837.67,4911.24
2024-12-29,North America,USA,Gadget Y,42,209.69,8806.98,2905.63,860.81,3766.44,5040.54
2025-03-16,Europe,Germany,Widget A,17,82.16,1396.72,557.81,112.04,669.85,726.87
2024-08-14,South America,Argentina,Gadget X,30,236.26,7087.8,2606.31,531.88,3138.19,3949.61
2024-12-19,Europe,Spain,Widget A,19,136.47,2592.93,1146.97,104.87,1251.84,1341.09
2024-05-25,Asia,Japan,Widget C,30,239.6,7188.0,2546.15,440.96,2987.11,4200.89
2024-04-09,South America,Argentina,Widget C,5,104.07,520.35,214.4,21.0,235.4,284.95
2024-12-17,Europe,France,Widget B,34,68.85,2340.9,660.2,188.18,848.38,1492.52
2025-04-18,North America,Canada,Widget B,12,199.33,2391.96,804.72,78.04,882.76,1509.2
2024-07-21,South America,Argentina,Gadget X,1,217.33,217.33,63.28,21.24,84.52,132.81
2024-03-05,Europe,France,Widget C,21,75.18,1578.78,430.68,142.66,573.34,1005.44
2025-05-16,Asia,China,Gadget X,40,129.91,5196.4,1417.82,320.51,1738.33,3458.07
2025-04-13,North America,Canada,Gadget Y,38,43.73,1661.74,459.95,67.48,527.43,1134.31
2024-11-08,Europe,France,Widget C,45,59.58,2681.1,878.58,224.35,1102.93,1578.17
2025-01-27,South America,Brazil,Gadget X,41,170.47,6989.27,3032.17,795.12,3827.29,3161.98
2024-06-26,North America,Canada,Widget C,9,72.39,651.51,272.59,55.86,328.45,323.06
2025-01-02,Europe,Spain,Widget B,13,248.26,3227.38,1428.97,243.63,1672.6,1554.78
2025-05-21,South America,Argentina,Gadget X,46,255.17,11737.82,4081.71,439.47,4521.18,7216.64
2024-02-01,North America,Canada,Widget A,18,82.96,1493.28,459.53,149.73,609.26,884.02
2025-05-22,Europe,Germany,Widget C,50,172.07,8603.5,3855.91,677.82,4533.73,4069.77
2024-02-12,South America,Brazil,Gadget X,7,226.08,1582.56,602.53,82.73,685.26,897.3
2024-02-03,South America,Argentina,Widget C,6,142.94,857.64,384.9,85.6,470.5,387.14
2024-08-30,North America,Canada,Gadget Y,41,139.89,5735.49,2140.66,577.2,2717.86,3017.63
2024-07-30,Europe,UK,Gadget Y,18,187.12,3368.16,955.46,397.81,1353.27,2014.89
2024-10-26,Asia,China,Widget C,33,295.94,9766.02,3768.32,376.68,4145.0,5621.02
2025-02-25,Europe,UK,Widget B,45,262.5,11812.5,3542.99,1110.68,4653.67,7158.83
2024-09-10,South America,Argentina,Widget B,37,197.07,7291.59,2738.45,464.95,3203.4,4088.19
2024-03-18,Europe,Spain,Gadget Y,48,97.9,4699.2,2054.81,297.07,2351.88,2347.32
2025-05-14,Asia,China,Widget A,50,257.21,12860.5,3454.69,1511.03,4965.72,7894.78
2025-01-01,Europe,Spain,Widget B,28,250.96,7026.88,2451.98,414.99,2866.97,4159.91
2024-10-17,Asia,China,Gadget Y,9,178.52,1606.68,557.63,97.91,655.54,951.14
2024-02-19,Europe,Germany,Gadget X,2,54.79,109.58,46.19,7.64,53.83,55.75
2024-01-01,South America,Brazil,Widget B,42,104.52,4389.84,1865.18,478.03,2343.21,2046.63
2024-04-05,Asia,Japan,Widget A,24,206.06,4945.44,1878.19,171.41,2049.6,2895.84
2024-11-08,North America,Canada,Widget A,46,46.65,2145.9,628.07,79.43,707.5,1438.4
2024-08-19,South America,Brazil,Widget A,45,116.2,5229.0,1433.37,561.75,1995.12,3233.88
2024-05-15,South America,Brazil,Widget B,25,45.01,1125.25,462.69,44.21,506.9,618.35
2025-01-11,Asia,India,Gadget X,50,247.74,12387.0,5263.23,1086.86,6350.09,6036.91
2024-05-26,Europe,Germany,Gadget Y,42,65.95,2769.9,887.03,136.21,1023.24,1746.66
2024-06-04,South America,Argentina,Widget B,6,271.05,1626.3,452.12,66.82,518.94,1107.36
2025-01-28,Asia,Japan,Widget C,9,89.38,804.42,304.81,42.1,346.91,457.51
2024-10-18,Europe,UK,Widget B,34,189.94,6457.96,1858.14,421.43,2279.57,4178.39
2024-02-25,North America,Canada,Gadget X,8,87.5,700.0,264.33,25.47,289.8,410.2
2024-01-13,Asia,Japan,Widget B,25,261.03,6525.75,2373.26,410.39,2783.65,3742.1
2024-06-25,South America,Brazil,Widget A,38,38.91,1478.58,447.18,49.66,496.84,981.74
2024-03-02,South America,Argentina,Gadget Y,50,136.32,6816.0,2660.71,255.04,2915.75,3900.25
2024-06-05,Asia,India,Widget C,6,163.17,979.02,284.54,100.57,385.11,593.91
2024-11-30,South America,Brazil,Widget C,45,142.5,6412.5,2825.9,330.1,3156.0,3256.5
2024-09-07,Europe,Spain,Widget A,30,191.44,5743.2,1499.01,516.58,2015.59,3727.61
2024-06-28,Europe,Germany,Widget B,45,23.18,1043.1,364.34,63.84,428.18,614.92
2025-06-13,Asia,India,Widget C,9,229.94,2069.46,878.88,198.59,1077.47,991.99
2024-04-30,Europe,UK,Gadget X,18,166.68,3000.24,907.84,353.29,1261.13,1739.11
2024-03-19,South America,Argentina,Gadget Y,24,35.52,852.48,359.64,38.38,398.02,454.46
2024-06-10,Asia,India,Gadget Y,44,222.38,9784.72,2893.15,741.63,3634.78,6149.94
2024-02-15,Europe,France,Widget A,31,121.91,3779.21,1640.35,174.25,1814.6,1964.61
2024-02-06,South America,Brazil,Widget C,16,136.55,2184.8,860.94,118.88,979.82,1204.98
2024-03-20,Asia,India,Gadget Y,44,272.54,11991.76,3428.07,1227.84,4655.91,7335.85
2024-02-17,South America,Brazil,Gadget X,19,236.59,4495.21,1403.13,169.81,1572.94,2922.27
2025-04-12,Europe,UK,Widget B,19,177.87,3379.53,1050.3,290.79,1341.09,2038.44
2025-04-20,Asia,China,Gadget X,50,237.25,11862.5,4703.39,939.4,5642.79,6219.71
2024-09-08,North America,USA,Gadget X,2,85.24,170.48,54.43,18.0,72.43,98.05
2024-01-10,Asia,India,Gadget X,48,223.62,10733.76,2906.59,833.83,3740.42,6993.34
2024-08-31,South America,Argentina,Widget A,10,219.26,2192.6,588.94,247.58,836.52,1356.08
2025-06-16,South America,Argentina,Gadget X,48,43.77,2100.96,565.4,88.27,653.67,1447.29
2025-02-07,Europe,Germany,Gadget X,43,289.98,12469.14,3707.75,666.96,4374.71,8094.43
2024-11-18,South America,Argentina,Widget C,29,96.15,2788.35,738.74,134.52,873.26,1915.09
2024-04-21,North America,USA,Widget B,29,150.5,4364.5,1445.97,341.45,1787.42,2577.08
2024-07-31,South America,Argentina,Gadget X,17,258.7,4397.9,1179.01,451.59,1630.6,2767.3
2024-11-07,Europe,France,Widget C,10,45.54,455.4,136.46,28.24,164.7,290.7
2025-06-09,Europe,UK,Widget C,12,28.7,344.4,113.95,24.35,138.3,206.1
2024-09-12,Europe,Spain,Widget A,9,54.01,486.09,127.52,48.75,176.27,309.82
2024-08-15,North America,USA,Gadget X,24,212.16,5091.84,2227.76,191.27,2419.03,2672.81
2024-09-22,Europe,Germany,Widget A,13,272.7,3545.1,1200.68,147.45,1348.13,2196.97
2024-12-05,Europe,Germany,Gadget X,4,67.04,268.16,97.82,27.88,125.7,142.46
2025-02-08,South America,Brazil,Gadget X,44,139.47,6136.68,1968.58,685.76,2654.34,3482.34
2024-10-08,Asia,Japan,Widget B,3,191.95,575.85,215.02,50.82,265.84,310.01
2025-05-25,South America,Argentina,Widget A,6,98.34,590.04,163.7,28.29,191.99,398.05
2025-06-22,North America,USA,Gadget X,46,120.55,5545.3,1990.23,408.25,2398.48,3146.82
2025-05-29,Asia,Japan,Widget C,12,27.3,327.6,121.02,10.69,131.71,195.89
2024-10-14,Europe,Spain,Gadget Y,23,234.72,5398.56,2428.93,635.18,3064.11,2334.45
2024-04-12,North America,USA,Widget C,35,248.56,8699.6,3770.86,304.76,4075.62,4623.98
2024-08-12,South America,Argentina,Widget B,12,86.23,1034.76,324.5,99.78,424.28,610.48
2025-01-02,Europe,UK,Gadget Y,37,59.79,2212.23,972.66,232.95,1205.61,1006.62
2025-05-19,Asia,India,Gadget X,3,45.27,135.81,40.27,6.75,47.02,88.79
2025-06-23,South America,Brazil,Widget C,40,76.41,3056.4,843.87,288.9,1132.77,1923.63
2024-11-27,Europe,Germany,Widget B,38,217.31,8257.78,2298.39,330.17,2628.56,5629.22
2025-06-22,Asia,India,Widget C,46,283.74,13052.04,4295.68,510.24,4805.92,8246.12
2024-11-05,Asia,India,Widget B,47,285.63,13424.61,5482.19,1563.42,7045.61,6379.0
2024-11-20,North America,Canada,Widget B,43,184.91,7951.13,2266.63,458.1,2724.73,5226.4
2024-10-28,North America,USA,Widget A,45,285.64,12853.8,4220.16,1535.84,5756.0,7097.8
2024-02-03,North America,Canada,Gadget Y,15,199.1,2986.5,808.81,222.96,1031.77,1954.73
2024-12-05,Europe,France,Widget C,21,67.01,1407.21,600.97,53.45,654.42,752.79
2024-12-09,South America,Brazil,Widget C,14,89.87,1258.18,331.6,66.81,398.41,859.77
2024-04-20,Europe,Germany,Gadget X,29,225.12,6528.48,2897.47,715.58,3613.05,2915.43
2025-05-19,South America,Argentina,Gadget Y,25,48.4,1210.0,418.54,130.4,548.94,661.06
2024-08-18,North America,Canada,Widget A,3,102.57,307.71,96.54,35.59,132.13,175.58
2024-03-16,Asia,India,Gadget X,11,224.96,2474.56,889.38,274.26,1163.64,1310.92
2024-04-05,Asia,China,Gadget Y,31,217.26,6735.06,2264.76,598.26,2863.02,3872.04
2025-03-20,North America,USA,Widget A,22,77.55,1706.1,491.35,158.24,649.59,1056.51
2024-09-28,Asia,Japan,Widget B,7,33.9,237.3,86.46,25.06,111.52,125.78
2024-06-06,Europe,UK,Widget A,28,44.54,1247.12,517.28,107.57,624.85,622.27
2025-05-06,North America,USA,Widget A,14,67.83,949.62,292.83,35.49,328.32,621.3
2024-04-28,Asia,Japan,Gadget X,32,270.57,8658.24,2623.45,759.92,3383.37,5274.87
2025-01-31,North America,Canada,Gadget X,24,72.24,1733.76,448.91,120.63,569.54,1164.22
2024-09-26,North America,Canada,Gadget Y,4,62.32,249.28,97.04,9.65,106.69,142.59
2024-12-18,South America,Brazil,Gadget Y,4,255.42,1021.68,422.65,69.14,491.79,529.89
2025-05-01,North America,Canada,Widget C,6,130.55,783.3,329.6,25.95,355.55,427.75
2025-06-13,North America,USA,Gadget X,12,285.74,3428.88,971.86,168.26,1140.12,2288.76
2024-07-16,North America,USA,Gadget X,6,296.72,1780.32,600.11,213.2,813.31,967.01
2024-05-31,Asia,Japan,Widget A,6,128.67,772.02,254.36,45.82,300.18,471.84
2024-10-09,South America,Brazil,Gadget Y,38,166.32,6320.16,2110.42,425.35,2535.77,3784.39
2024-05-31,Europe,Germany,Gadget Y,50,48.28,2414.0,741.63,188.79,930.42,1483.58
2024-12-18,South America,Argentina,Gadget X,42,155.96,6550.32,2435.36,218.6,2653.96,3896.36
2024-10-09,South America,Brazil,Gadget Y,39,210.63,8214.57,2713.63,539.05,3252.68,4961.89
2024-12-05,North America,USA,Gadget X,18,271.17,4881.06,1240.02,505.51,1745.53,3135.53
2024-11-06,Asia,Japan,Gadget X,45,211.76,9529.2,4235.72,481.38,4717.1,4812.1
2024-11-03,South America,Argentina,Widget C,47,136.7,6424.9,2435.75,301.42,2737.17,3687.73
2024-08-04,South America,Argentina,Gadget Y,24,249.88,5997.12,2117.31,265.72,2383.03,3614.09
2024-11-14,South America,Brazil,Gadget Y,37,28.11,1040.07,300.11,109.17,409.28,630.79
2024-02-29,North America,USA,Gadget X,4,277.05,1108.2,433.23,60.57,493.8,614.4
2025-04-20,South America,Brazil,Widget A,16,124.29,1988.64,733.43,91.44,824.87,1163.77
2025-04-30,Asia,Japan,Widget B,17,229.71,3905.07,1514.27,217.34,1731.61,2173.46
2025-01-30,Europe,France,Gadget Y,50,290.18,14509.0,6114.42,1280.63,7395.05,7113.95
2024-07-30,Asia,China,Gadget X,33,25.61,845.13,343.17,83.74,426.91,418.22
2024-01-10,South America,Brazil,Widget B,39,244.24,9525.36,2807.64,807.28,3614.92,5910.44
2024-11-08,Asia,Japan,Gadget X,23,148.52,3415.96,1003.07,195.37,1198.44,2217.52
2025-06-17,South America,Brazil,Widget A,33,299.84,9894.72,4386.3,1044.33,5430.63,4464.09
2024-10-16,Asia,China,Widget A,31,37.87,1173.97,525.55,102.9,628.45,545.52
2024-10-10,Asia,China,Widget C,13,61.98,805.74,324.79,89.41,414.2,391.54
2025-02-17,Asia,China,Widget B,47,27.13,1275.11,445.62,72.18,517.8,757.31
2025-03-04,South America,Argentina,Widget A,38,218.26,8293.88,3022.36,390.58,3412.94,4880.94
2024-08-15,South America,Argentina,Gadget Y,20,256.72,5134.4,2146.84,559.06,2705.9,2428.5
2024-07-04,Asia,India,Gadget X,9,227.46,2047.14,808.7,164.41,973.11,1074.03
2024-07-06,Asia,China,Widget A,15,119.48,1792.2,714.8,103.3,818.1,974.1
2024-12-05,Asia,Japan,Gadget Y,19,149.85,2847.15,778.86,99.17,878.03,1969.12
2024-03-13,South America,Brazil,Gadget Y,8,262.9,2103.2,686.35,119.57,805.92,1297.28
2024-02-25,North America,USA,Widget B,22,134.57,2960.54,1077.28,330.38,1407.66,1552.88
2025-04-13,North America,Canada,Widget B,50,42.63,2131.5,674.67,253.22,927.89,1203.61
2024-11-16,Europe,Germany,Gadget X,18,78.63,1415.34,572.8,115.87,688.67,726.67
2024-06-11,South America,Brazil,Widget B,40,141.44,5657.6,1900.29,388.18,2288.47,3369.13
2025-05-03,South America,Brazil,Widget A,35,75.84,2654.4,861.67,82.99,944.66,1709.74
2024-11-25,North America,USA,Widget A,41,225.41,9241.81,2728.67,1006.7,3735.37,5506.44
2024-11-15,North America,USA,Gadget X,33,184.83,6099.39,1728.59,635.23,2363.82,3735.57
2024-11-01,Asia,Japan,Gadget Y,39,166.75,6503.25,2189.86,597.06,2786.92,3716.33
2024-05-17,Asia,Japan,Widget C,49,72.76,3565.24,1567.34,401.58,1968.92,1596.32
2025-02-17,Europe,France,Widget B,47,295.77,13901.19,4062.46,444.45,4506.91,9394.28
2025-05-31,North America,USA,Widget C,46,202.15,9298.9,2394.21,1012.55,3406.76,5892.14
2024-09-18,Europe,Germany,Widget A,42,254.11,10672.62,2771.11,431.4,3202.51,7470.11
2025-03-30,South America,Brazil,Gadget Y,17,152.83,2598.11,729.1,240.5,969.6,1628.51
2024-01-10,Asia,Japan,Widget A,43,165.69,7124.67,2668.61,663.06,3331.67,3793.0
2025-03-04,Europe,Germany,Widget C,8,239.73,1917.84,670.38,162.65,833.03,1084.81
2024-09-26,North America,Canada,Gadget X,19,64.9,1233.1,443.46,138.02,581.48,651.62
2025-05-07,Asia,India,Widget A,1,208.06,208.06,89.75,21.88,111.63,96.43
2025-05-20,North America,USA,Gadget Y,5,222.6,1113.0,300.8,59.02,359.82,753.18
2024-08-24,South America,Argentina,Widget C,30,34.02,1020.6,421.14,110.91,532.05,488.55
2024-10-24,Asia,China,Widget C,28,226.79,6350.12,1708.18,623.83,2332.01,4018.11
2024-02-16,Europe,France,Widget B,22,120.11,2642.42,891.93,227.15,1119.08,1523.34
2024-04-05,Asia,Japan,Widget B,8,132.22,1057.76,468.02,57.61,525.63,532.13
2025-01-29,South America,Argentina,Widget B,8,57.1,456.8,180.56,54.06,234.62,222.18
2024-06-12,Europe,Spain,Gadget Y,31,244.63,7583.53,2924.81,351.22,3276.03,4307.5
2025-01-23,Asia,China,Widget A,44,266.39,11721.16,4635.2,1292.36,5927.56,5793.6
2025-05-09,South America,Brazil,Gadget X,29,32.87,953.23,288.18,55.56,343.74,609.49
2025-06-21,North America,Canada,Gadget Y,34,212.71,7232.14,2702.27,498.7,3200.97,4031.17
2024-09-11,South America,Argentina,Gadget X,10,254.93,2549.3,922.0,303.11,1225.11,1324.19
2024-02-25,Europe,France,Gadget Y,31,258.52,8014.12,3397.05,294.42,3691.47,4322.65
2025-05-18,Asia,India,Widget C,18,34.1,613.8,180.79,53.95,234.74,379.06
2025-02-16,North America,USA,Gadget X,29,244.35,7086.15,2406.6,758.88,3165.48,3920.67
2025-04-02,Asia,India,Gadget X,48,202.94,9741.12,2635.25,653.73,3288.98,6452.14
2024-01-01,Europe,UK,Gadget Y,36,77.92,2805.12,1077.99,324.08,1402.07,1403.05
2025-01-07,Europe,France,Gadget X,22,176.84,3890.48,1454.85,282.38,1737.23,2153.25
2025-01-07,South America,Brazil,Widget A,49,204.49,10020.01,2509.41,620.86,3130.27,6889.74
2024-10-25,Asia,China,Widget A,3,271.13,813.39,283.45,84.56,368.01,445.38
2025-02-23,Europe,UK,Gadget Y,13,72.51,942.63,411.03,61.61,472.64,469.99
2025-04-13,North America,Canada,Widget A,49,136.05,6666.45,2902.07,702.46,3604.53,3061.92
2024-05-06,South America,Argentina,Gadget Y,33,57.7,1904.1,665.99,148.01,814.0,1090.1
2024-02-19,South America,Argentina,Gadget Y,50,277.93,13896.5,3966.62,1140.48,5107.1,8789.4
2024-05-11,Europe,Spain,Gadget Y,39,267.15,10418.85,3655.16,673.26,4328.42,6090.43
2024-09-11,Asia,Japan,Widget C,19,146.8,2789.2,771.7,187.29,958.99,1830.21
2025-06-08,Asia,China,Gadget Y,21,219.32,4605.72,2013.17,400.39,2413.56,2192.16
2024-07-24,North America,Canada,Widget C,44,57.15,2514.6,985.92,296.13,1282.05,1232.55
2024-07-01,Asia,China,Widget A,49,118.63,5812.87,2011.68,472.92,2484.6,3328.27
2025-03-03,Asia,Japan,Widget A,34,49.81,1693.54,552.39,58.89,611.28,1082.26
2024-02-27,North America,Canada,Widget B,19,211.35,4015.65,1121.51,142.89,1264.4,2751.25
2024-10-29,North America,USA,Widget C,29,48.69,1412.01,598.14,136.34,734.48,677.53
2024-08-17,South America,Brazil,Gadget Y,45,100.54,4524.3,1732.35,512.98,2245.33,2278.97
2025-01-31,South America,Argentina,Gadget Y,4,23.63,94.52,28.38,8.11,36.49,58.03
2025-03-29,North America,Canada,Gadget Y,35,226.77,7936.95,2296.11,755.93,3052.04,4884.91
2024-07-17,Asia,Japan,Widget B,44,40.85,1797.4,795.34,172.83,968.17,829.23
2024-05-02,South America,Brazil,Gadget X,18,175.85,3165.3,873.66,261.32,1134.98,2030.32
2024-09-18,Europe,UK,Gadget X,46,282.5,12995.0,3352.56,1475.93,4828.49,8166.51
2024-02-22,Asia,Japan,Gadget Y,36,120.26,4329.36,1761.21,253.73,2014.94,2314.42
2024-08-13,North America,USA,Gadget Y,11,136.46,1501.06,536.49,57.45,593.94,907.12
2024-08-14,North America,Canada,Widget C,24,102.2,2452.8,1079.38,210.07,1289.45,1163.35
2025-05-01,Europe,Germany,Widget C,29,87.3,2531.7,958.13,285.26,1243.39,1288.31
2024-09-06,Europe,UK,Gadget X,8,128.05,1024.4,366.78,56.81,423.59,600.81
2025-06-13,Asia,China,Gadget Y,29,156.31,4532.99,1401.99,401.79,1803.78,2729.21
2024-11-24,Europe,Germany,Widget B,50,170.63,8531.5,2145.38,306.22,2451.6,6079.9
2024-08-06,South America,Brazil,Widget B,35,252.05,8821.75,3755.66,853.27,4608.93,4212.82
2025-03-21,Europe,France,Widget A,30,220.72,6621.6,1705.57,242.3,1947.87,4673.73
2024-07-01,Asia,China,Widget A,37,250.05,9251.85,3998.62,616.98,4615.6,4636.25
2025-04-06,South America,Argentina,Widget C,2,129.06,258.12,70.64,7.88,78.52,179.6
2024-03-05,Europe,Germany,Widget C,33,49.72,1640.76,668.41,93.72,762.13,878.63
2024-03-29,Asia,Japan,Gadget X,26,250.19,6504.94,1666.33,286.67,1953.0,4551.94
2024-08-13,North America,Canada,Gadget Y,19,288.84,5487.96,1530.13,499.16,2029.29,3458.67
2025-01-17,Europe,France,Widget A,3,21.41,64.23,23.72,5.03,28.75,35.48
2024-03-28,Asia,India,Widget C,14,135.54,1897.56,719.53,144.46,863.99,1033.57
2024-06-13,North America,USA,Gadget Y,17,74.41,1264.97,362.12,128.99,491.11,773.86
2024-02-25,South America,Brazil,Widget C,43,38.86,1670.98,450.56,159.25,609.81,1061.17
2025-05-13,Asia,Japan,Widget B,43,203.53,8751.79,2363.06,750.52,3113.58,5638.21
2024-07-17,Asia,Japan,Gadget X,22,192.58,4236.76,1318.2,349.85,1668.05,2568.71
2025-01-08,Asia,Japan,Widget B,1,107.7,107.7,43.85,10.13,53.98,53.72
2025-03-22,Asia,Japan,Widget B,44,225.23,9910.12,4217.52,710.12,4927.64,4982.48
2025-01-02,Asia,Japan,Gadget Y,7,69.22,484.54,179.92,51.25,231.17,253.37
2024-05-23,North America,Canada,Widget A,47,41.11,1932.17,490.24,146.16,636.4,1295.77
2024-02-01,South America,Brazil,Widget A,36,92.97,3346.92,1435.15,262.97,1698.12,1648.8
2024-06-01,Asia,Japan,Widget B,50,185.09,9254.5,3900.15,389.15,4289.3,4965.2
2025-05-28,Europe,Spain,Widget C,33,22.97,758.01,225.72,88.51,314.23,443.78
2024-06-18,North America,Canada,Widget B,12,178.58,2142.96,778.24,232.51,1010.75,1132.21
2024-05-29,South America,Argentina,Widget A,15,233.21,3498.15,1036.68,188.17,1224.85,2273.3
2024-08-27,Europe,France,Gadget Y,24,128.67,3088.08,1338.93,337.65,1676.58,1411.5
2024-02-10,Asia,India,Gadget Y,41,252.3,10344.3,4313.31,555.47,4868.78,5475.52
2024-06-27,South America,Argentina,Widget C,38,202.93,7711.34,3216.35,589.91,3806.26,3905.08
2025-01-20,North America,Canada,Widget C,23,156.32,3595.36,1245.51,303.37,1548.88,2046.48
2025-05-28,North America,Canada,Widget B,15,41.58,623.7,236.19,30.58,266.77,356.93
2024-07-10,North America,Canada,Gadget Y,46,248.75,11442.5,4373.57,770.25,5143.82,6298.68
2024-12-04,Europe,Spain,Gadget X,31,79.0,2449.0,691.23,257.15,948.38,1500.62
2024-01-23,North America,USA,Widget B,37,185.86,6876.82,1904.5,523.59,2428.09,4448.73
2024-05-30,Europe,France,Widget C,12,164.66,1975.92,654.21,231.64,885.85,1090.07
2024-01-20,Asia,India,Widget B,29,189.83,5505.07,1895.3,403.8,2299.1,3205.97
2024-08-12,South America,Brazil,Gadget Y,50,70.93,3546.5,1354.51,190.83,1545.34,2001.16
2024-12-16,South America,Brazil,Widget B,25,127.93,3198.25,869.01,154.19,1023.2,2175.05
2025-05-31,South America,Brazil,Gadget Y,7,69.68,487.76,209.89,40.96,250.85,236.91
2025-05-30,Europe,Germany,Gadget X,43,56.49,2429.07,900.44,253.78,1154.22,1274.85
2025-03-17,South America,Argentina,Widget A,45,168.35,7575.75,2241.64,774.29,3015.93,4559.82
2025-01-25,Asia,China,Gadget Y,7,139.14,973.98,293.07,96.35,389.42,584.56
2024-03-26,Asia,China,Gadget Y,27,92.19,2489.13,625.01,241.27,866.28,1622.85
2024-01-08,Europe,Germany,Gadget X,42,77.52,3255.84,1337.69,217.48,1555.17,1700.67
2024-04-19,North America,Canada,Gadget Y,17,93.16,1583.72,565.74,128.0,693.74,889.98
2024-10-09,South America,Brazil,Gadget X,36,239.46,8620.56,2986.97,545.85,3532.82,5087.74
2025-05-10,Asia,Japan,Gadget Y,23,236.77,5445.71,1795.05,231.04,2026.09,3419.62
2024-05-01,North America,Canada,Widget B,7,80.05,560.35,184.98,33.88,218.86,341.49
2024-02-23,North America,Canada,Widget A,6,250.51,1503.06,517.55,126.29,643.84,859.22
2024-03-31,Europe,UK,Widget B,24,42.41,1017.84,262.15,65.74,327.89,689.95
2025-02-14,Asia,China,Gadget Y,4,284.8,1139.2,471.68,99.82,571.5,567.7
2025-03-25,Europe,France,Gadget Y,19,74.53,1416.07,576.05,107.55,683.6,732.47
2024-08-25,North America,USA,Widget C,16,203.41,3254.56,1448.7,123.07,1571.77,1682.79
2024-10-09,South America,Argentina,Gadget X,26,184.1,4786.6,1692.3,461.06,2153.36,2633.24
2024-03-11,Europe,UK,Gadget Y,38,117.47,4463.86,1975.96,245.0,2220.96,2242.9
2024-07-18,South America,Argentina,Gadget Y,1,93.11,93.11,30.86,3.69,34.55,58.56
2024-03-15,Asia,Japan,Widget A,33,287.88,9500.04,4039.63,980.25,5019.88,4480.16
2024-09-13,South America,Argentina,Gadget Y,31,235.59,7303.29,2932.23,850.92,3783.15,3520.14
2025-04-14,South America,Brazil,Gadget X,8,92.19,737.52,240.83,74.47,315.3,422.22
2024-08-13,North America,Canada,Gadget X,23,164.62,3786.26,953.93,397.16,1351.09,2435.17
2024-09-11,Asia,India,Gadget X,44,229.66,10105.04,3217.43,807.49,4024.92,6080.12
2024-07-01,South America,Argentina,Widget C,14,270.41,3785.74,1150.17,436.27,1586.44,2199.3
2024-07-13,South America,Brazil,Widget B,48,87.78,4213.44,1277.01,213.32,1490.33,2723.11
2024-09-12,Asia,India,Widget A,8,277.65,2221.2,855.52,199.26,1054.78,1166.42
2024-01-07,Europe,Spain,Widget C,40,108.32,4332.8,1861.48,473.53,2335.01,1997.79
2024-10-08,South America,Brazil,Gadget Y,18,131.41,2365.38,946.23,98.26,1044.49,1320.89
